user_id,country,affiliation,a_rate,h_rate
172_NAS,IN,KLETU ,0,0
17326130364,CI,confirm,0,0
17702449721,CN,17702449721,55,0
1775753648,CN,,268,0
17802671487,CN,,4,0
17diksha,IN,,17,0
17h4ck3r11,IN,,19,0
17ucs031,IN,,496,0
17ucs034,IN,,266,0
17ucs153,IN,,75,0
18029564773,CN,,2,0
1804016_Sajjad,BD,,2,0
1804064_mamun,BD,,514,0
1804090_Newton,BD,,89,0
18070001,CN,,22,0
18159123178,CN,,0,0
1816050307,CN,17612437380,28,0
1818,JP,盛岡第一高等学校,37,0
18239196779,CN,,0,0
1825010023,CN,,37,0
183234,TW,,8,0
1843114090,CN,,2,0
185,JP,,57,0
18529149139,CN,,0,0
18651659188,CN,,2,0
1872301756,CN,,2,0
18736967652,AD,,4,0
18757181218,CN,,70,0
18762799312,CN,,21,0
1877357091,CN,,3,0
18786056915,CN,,0,0
18795836797,CN,,0,0
18893169962,CN,,9,0
18Michael,CN,,1611,0
18o3,IN,"Institute of Engineering and Technology, Lucknow",1727,0
19020002,CN,,0,0
1903480100059,IN,,2,0
1904072_fahim,BD,,0,0
1904113_,BD,,736,0
1905761,IN,,68,0
19117103,IN,,54,0
191250039,CN,,22,0
19140200073,CN,,0,0
1916cck,CN,,1132,0
1935Zz,CN,,955,0
1936960001,CN,,13,0
1945371205,CN,,6,0
19D070048,IN,,607,0
19aman9,IN,,23,0
19cse010,BD,rakib,1,0
19k0034,JP,法政,982,711
19k1011,JP,法政大学,265,0
19tshinshu,JP,信州大学,256,0
19wh1a0232,IN,,0,0
19wh1a0244,IN,,2,0
1Ac27,JP,,540,575
1Engels,PE,,5,0
1QWERTpoiuy,CN,,0,0
1ZZZZ,CN,,64,0
1_Hypex,IN,,566,0
1_no_se,JP,東京大学きらら同好会,2335,1288
1ac0,GE,nothing,57,0
1ast_try,BD,,2,0
1bin,KR,,1618,0
1brief,CN,ac forever,453,0
1dyn,KZ,,2,0
1e7b91,JP,東京大学,169,0
1e9d,VN,,202,0
1f10190381,JP,iniad,5,0
1hirog,JP,e,0,0
1m_shoura1,EG,,17,0
1mae,JP,,5,0
1nao,JP,,596,0
1o25,IN,,87,0
1o32,IN,,85,0
1o9,JP,,9,0
1q2w3e4r5t,RU,,974,0
1sh3n,TW,,2,0
1shinsin1,JP,,2,0
1theK,JP,,758,0
1zaid1,SA,almuthana fan club,1016,0
1zhuxiaobaicai,CN,,1592,0
2000303218,CN,,14,0
2000tanu,IN,,18,0
2002zhd,CN,,60,0
200522keiji,JP,,90,0
20060907,TW,,1450,0
2008160202,CN,,112,0
20091221Zcj,CN,,20,0
20100105,CN,,43,0
2010331myq,CN,,895,14
20110911,CN,,10,0
20123040,CN,,1074,0
201240086Lwj,CN,,7,0
2012wzm,CN,,2,0
20160161simon,CN,,484,0
2016153331,CN,,131,0
2016gdgzoi467,CN,,1929,0
2016mehrab,BD,Brac University,1,0
2017331038,BD,,22,0
2017487,MY,,0,0
2018040354,CN,,46,0
2018171208,CN,,70,0
2018x5zzt,CN,,11,0
2019014927,CN,,15,0
201929,CN,,242,0
20194390105,CN,,843,0
20194719,CN,,0,0
2019jiyi,CN,,334,0
2019sanukumar,IN,,256,0
2019tyk60,CN,,0,0
2019uce0059,IN,,41,0
2019wangminxiao,CN,,1006,0
202001201,IN,,0,0
20201003026,CN,,445,0
20201003054,CN,,166,0
20201003087,CN,,255,0
2020212818,CN,15046801975,0,0
202026202091,CN,,13,0
202032004116,CN,,3,0
20203246,CN,,594,0
20206769,CN,,77,0
20206970,CN,,478,0
2020LiSiBo,CN,,21,0
2020_wty,CN,,0,0
2020herunlong,CN,,0,0
2020huangzixuan,CN,,1371,0
2020liujinhan,CN,,1214,0
2020ugcs083,IN,,2,0
2020wty,CN,13826350199,0,0
2020yan,CN,,169,0
2020zhyzhy,CN,,935,90
2020zym,CN,,0,0
20210107s,CN,,171,0
2021030095,CN,,0,0
2021030469,CN,,7,0
2021040044,CN,,20,0
2021040048,CN,,1739,0
20210805,CN,,391,0
20210902124,CN,,727,0
2021120902012,CN,,4,0
20211A0530,IN,,0,0
202123211402014,CN,,0,0
2021404292,CN,,279,0
202151056,IN,,6,0
202158501138,CN,,1,0
2021XZIT010,CN,,36,0
2021cjx,CN,,81,0
2021lhyjz,CN,,224,0
2021lsc,CN,,2,0
2021lumengde,CN,,416,0
2021pgcaca032,IN,,14,0
2021sera,JP,,69,0
2021sgy,CN,,256,0
2021wxy,CN,,0,0
2021zhongqitao,CN,,42,0
202200201123hua,CN,SZTU,131,0
2022045266,CN,17872227081,97,0
202211081021,CN,,0,0
202218906liutong,CN,,2,0
2022210620,CN,,98,0
20223018,CN,,21,0
2022Zhangfenglai,CN,,159,0
2022caiminghui,CN,,81,0
2022kidongchen,CN,,7,0
2022lishujia,CN,,105,0
2022qiuyi,CN,,62,0
2022tysc0080,CN,,38,0
2022wangyao,CN,,418,0
2022xuziming,CN,,24,0
20230071,CN,,1399,0
2023liangyoulin,CN,86-13431503698,157,0
2024tangjiaqi,CN,,759,0
2025ss,IN,,52,0
2031069913,CN,,0,0
2031743022,CN,,0,0
2033928942,CN,,8,0
204030408,CN,,2,0
2041302074xx,CN,,2,0
20421271,BD,,21,0
2042435406,CN,adada,84,0
2071938539,CN,,0,0
207502516,CN,,4,0
20Halym07,TM,,20,0
20JE0532,IN,,0,64
20bcs030,IN,blaaaaaaaaaaaaaaaaaaaa,2,0
20liujianyi,CN,,45,0
20wh1a05d0,IN,,5,0
2100080102,IN,,0,0
2100080114_KLU,IN,KL University,0,0
21007310238fyz,CN,,450,0
2106332,IN,IIT goa,2,0
2107020107,CN,,21,0
2110040055,IN,,0,0
2110040084_p,IN,Student,0,0
21101060,BD,,0,0
211024389,CN,,9,0
211250Samihah,BD,,107,0
2115133132,CN,nbpt,11,0
2115133321,CN,15825643596,439,0
2115133323,CN,,240,0
21211860218,CN,,2,0
21307053,CN,,14,0
2141306116,CN,13467798419,12,0
21450150515,CN,,7,0
21501a0583,IN,,2,0
2196694530,AF,,11,0
2198219400,CN,,13,0
21A3098,JP,大学生,0,0
21bcs8566,IN,,0,0
21hyh,CN,,0,0
2200310411dzx,CN,,11,0
22011120229,CN,15528987691,0,0
220123,CN,,2,0
220301068,CN,,38,0
220403_lijiahui,CN,,10,0
221,JP,京都大学,1,0
2215133201,CN,,8,0
2215143240,CN,,46,0
2215163123,CN,,0,0
22211835107,CN,,10,0
22211835132,CN,18058185712,14,0
22211860141,CN,,80,0
2222,UA,,0,0
222mathank,IN,,22,0
2237170440,CN,,0,0
2243077,JP,簿記頑張ろうの会,0,0
226001673,CN,,0,0
226151892,CN,2020212,28,0
2261518923,CN,2020212,23,0
229074135yezheyu,CN,,0,0
229193,CN,,10,0
229brijeshsingh,IN,,9,0
22bm,CN,,64,0
230firstlove,CN,,0,0
230tls,KR,부설고등학교,18,0
231012,CN,,15,0
234shiliu11,CN,,88,0
2355183,JP,,20,0
2381005077,CN,,11,0
2387059633,CN,,0,0
238974,CN,,0,0
23Shady,IN,B.tech,58,0
23daleyyy,VN,,0,0
23whome,JP,,261,0
240,JP,,0,0
2422june,KR,,0,0
2426889,JP,,0,0
2436313568,CN,,10,0
2438649241,CN,清白,0,0
2455769273,CN,,0,0
2463895410,CN,,0,0
2476100824,CN,,16,0
248223041,CN,,14,0
250240,CN,,29,0
2511,JP,,5,0
2516633174,CN,,56,0
2519,CN,None,245,0
2531249744,CN,,803,0
255k,CN,,68,0
2581658,JP,,13,0
25iend,IN,,637,0
25kalka,JP,,2,0
2622995114,CN,,0,0
26krkz,JP,,7,0
26may,IN,heritage institute of technology,277,0
2725069278rr,CN,,0,0
2750884426,CN,,533,0
275307894a,CN,,1181,0
2760610983,CN,,81,0
2798556037ly,CN,学生,0,0
27aryanraj,IN,,46,0
2805734199h,CN,,908,0
2840508116,CN,18279217091,0,0
2864513317,CN,,109,0
2926918898,CN,,0,0
29aryan,IN,,0,0
29chid,CN,,6,0
2EZ4Lionel,ID,,11,0
2_3_5_7,JP,大1,1038,0
2_mu,CN,,235,0
2bit,JP,,1183,710
2cuRRy,JP,,56,0
2eg4rizve,BD,,510,0
2enzero,CN,,326,0
2k_a2,JP,,113,0
2mar532dt6eds395,CN,HAN,2,0
2or3,JP,,237,0
2plus2equal57,JP,,526,0
2takumax,JP,,2,0
2weibeL,JP,慶應義塾,0,0
300iq,CA,University of Waterloo,2956,0
3020210041fzq,CN,,11,0
3021244158wzx,CN,,11,0
3021244159rr,CN,,11,0
3021244299,CN,,0,0
3086158957,JP,,102,0
3096399763,CN,,223,0
30967601,CN,,1086,0
30MiRiN,JP,神戸大学工学部電気電子工学科S4,1,0
30namp,IR,,63,0
31144,CN,13395704472,0,0
3121083camellia,JP,,2,0
314pies,US,,110,0
3211ppj,CN,,825,0
3211sjy,AF,,19,0
321nirik,JP,,0,0
3220439041,CN,,10,0
3270,JP,,14,0
3276837emu,JP,W-PCP,232,0
3283204184,CN,,742,0
3285503539,CN,啊啊啊,118,0
32presit,CN,,12,0
330312,CN,,1540,0
3303420073,CN,,693,0
333,US,,58,0
33554432,JP,paken,0,0
33DAI,CN,,1625,0
33_arsenic_75,IN,,7,0
3438935906dkw,CN,xndxfz,6,0
3448665863,CN,,15,0
3486907602cym,CN,yc_陈一鸣,0,0
3582cat,JP,,163,0
35miko,JP,TTHS,146,0
36155411,JP,東京理科大学,2,0
37824gy,CN,,1233,0
37aster,KR,Sogang University,42,0
37emirp73,JP,,340,0
382581161,CN,,41,0
38400km,CN,,0,0
3935,JP,,0,0
39parveenkumar,IN,,32,0
3BS_AS,EG,,101,0
3T_Noodle,KR,,0,0
3aarongan,US,,83,0
3ab7mid,EG,,1,0
3abdelrahman380,EG,damitta university computer science ,2,0
3ash,SY,,465,0
3b3t,EG,,15,0
3bbbab2,JP,,6,0
3bdoSa3d27,EG,,2,0
3c14ir,TH,,778,0
3c_yk_graph,JP,,33,0
3cloudream,CN,hnust,0,0
3devRapeti,IN,,14,0
3kani3,JP,,0,0
3kumo,JP,University of Tsukuba,9,0
3kutoku3,JP,,426,0
3liAckerman,CN,,1628,0
3mar_Qasrawi,PS,,2,0
3mr_3bdo,EG,,2,0
3otsu,JP,,11,0
3wrewte,CN,,17,0
3x1t1um,FR,,0,0
404fixer,IN,IIIT Sonepat,868,0
408434508,CN,,0,0
409544045,CN,,58,0
410724,CN,18338954043,0,0
411883104,GQ,,0,0
41772ki,JP,,76,0
4197,JP,,21,0
420801,JP,Mie University,727,1698
423328zyz,CN,,12,0
43_Zaki,JP,東京工科大学,15,0
44theWorld,JP,,47,0
4501897,CN,,3,0
456jbw,CN,,41,0
464ty,JP,,25,0
4702b99,CN,,5,0
496,JP,,8,0
4AllSophies,JP,,61,0
4O4,JP,,514,0
4SUR4,CA,University Of Manitoba,0,0
4Swg,CN,,0,0
4angrymen_TEAM,MA,,0,0
4chicken,JP,,4,0
4d656f77,KR,,46,0
4eT_llpuyHblJl,RU,,1880,0
4hieta,JP,,25,0
4luv,KR,,119,0
4ohn,JP,,96,0
4r18g,JP,,0,0
4st,JP,,9,0
4triumph,CN,,28,0
4yuub,MA,,8,0
4zuki,JP,,980,0
4zyou315,JP,,108,0
5100an,CN,学生,2,0
511symbol,JP,,839,0
5120202768,CN,,804,0
524,JP,,0,0
529,JP,,0,0
52QQyyds,HK,,10,0
535380,CN,,0,0
53741043,CN,15688475383,7,0
541forever,CN,,1661,0
542107130618,CN,18537093101,186,0
542113461050,AF,,0,0
542207230212,CN,ZZULI,0,0
542997,CN,,90,0
544818,JP,,371,0
54tttta9,JP,,73,0
552Hz,CN,,2,0
554477115471,CN,,611,0
55teeth,IN,institute of engineering and management kolkata,52,0
561206ma,CN,18829331688,174,0
567,CN,1,62,0
58nyan,JP,,187,0
5921IDO,CN,HUAS2021,731,0
5921zly,CN,,836,0
5AP,US,,104,0
5_tamim,BD,,0,0
5akura1,CN,,52,0
5jiKinoko,JP,芝浦工業大学,534,0
5jpbnd,JP,,32,0
5zo6ppu,JP,スガキヤ,1,0
6109120115,CN,,0,0
616991,BD,,1,0
61washer_sub,JP,もみじ会,257,0
61zn61dd,CN,,12,0
644783437,CN,,33,0
650iq,IN,,282,0
650lml,CN,,16,0
666666,CN,,5,0
666EGOR777,RU,,445,0
666ldc,CN,,0,0
666wlx666,CN,nihaohaha,127,0
66ed3gs,JP,,304,139
67468946,JP,,352,252
67_nb,CN,,491,0
67ovo,CN,,2,0
686352654,CN,,0,0
68756358,JP,,54,0
6969,HT,,0,0
6973lb,CN,,7,0
6Gfgg0,CN,abcdefg,124,0
6Sugoi9,IN,Student,2,0
6_2412,CN,,7,0
6e6f6e41,IN,,0,0
6ermvH,RU,MEPHI,848,0
6t9PrEdAToR,BD,,46,0
70enj,JP,,7,0
710315,JP,木組みの街,185,0
7122558,JP,東京理科大学,150,0
714zcy,CN,,212,0
715mm,JP,,276,0
737487180,CN,,0,0
74ankur09,IN,,2,0
756756756,JP,,531,0
7575mohan,IN,PSNA CET,64,0
7680x4320,JP,,46,0
773,JP,,3,0
7762,CN,,99,0
777888zzl,CN,,5,0
777Aoki888,JP,,921,0
77adog,CN,,384,0
77juice77,IN,,0,0
789as,CN,,0,0
7AMDAN,EG,,15,0
7abdofouad,EG,,30,0
7amzah,SY,,43,0
7an,CN,,7,0
7as__7,SM,,35,0
7assan_5alaf,EG,,2,0
7ekur0,JP,,0,0
7ferry7,CN,,0,0
7oby,CN,,826,0
7oodaaa,EG,,97,0
7seeker,IN,,0,0
7segmentLED,JP,KNCT,18,0
7vvXi,JP,CDSL,294,0
7zfc2ads9cft,JP,,566,0
8208935692,IN,,2,0
826_nonli,JP,,2,0
831ue,JP,,28,0
8545,CN,,223,0
87hs1stii,JP,KUTPG,126,0
8atemak1r,CN,Xi'an Gaoxin No.1 High School,928,0
8bitOverflow,IN,,222,0
8dori,JP,,0,0
8meipuru,JP,大阪大学大学院,517,0
8og,JP,,151,0
8ovehat1r,CN,Xi'an Gaoxin No.1 High School,980,0
8wings,JP,The University of Tokyo,1635,1578
8zr4,JP,,345,0
9021jiangyuxun,CN,,115,0
908haochen,CN,18780787059,51,0
92panda,JP,,11,0
953483833,CN,,7,0
956373939,CN,,467,0
95en,JP,,22,0
971241521141,VN,,3,0
975231zjr,CN,,9,0
9876789,CN,,28,0
987satyam567,IN,,2,0
999995,CN,,15,0
99_saiful,BD,,2,0
99edward,KR,,97,0
99mryo,JP,,79,0
9an,CN,,208,0
9de,JP,,6,0
9king9,CN,,30,0
9qujnmklobs67,CN,,31,0
9trash,TW,,69,0
A01750748,MX,,7,0
A01Tachiba7,JP,,85,0
A090115,CN,WULAOCUN,2,0
A0I,JP,,0,0
A0ikun_1818,JP,TDU,1736,1026
A0ir0,JP,,95,0
A0iro,JP,,944,0
A0mina10,JP,,3,0
A106,JP,,10,0
A1073584616,CN,,71,0
A110011,IN,,143,0
A123,IN,"Government College Of Engineering And Textile Technology, Berhampore",2,0
A1438329629,CN,114514,0,0
A1848482568,CN,,1609,0
A1901029,JP,ASO,35,0
A1B2C3D4,XX,,23,0
A1i3N,BD,Nihan,2,0
A1m233,CN,,116,0
A1phamath,JP,Kyoto University,1060,0
A1venG0,UA,,223,0
A2017,JP,,220,0
A2105889224,AO,,0,0
A21_M18,EG,,35,0
A24_N,JP,,8,0
A29,JP,,40,0
A2TobiasFake,VN,,60,0
A2Z,JP,,43,0
A2a_567,IN,,26,0
A306ST,CN,+86 18684787233,18,0
A310,CN,HNIT,0,0
A3379,JP,,86,0
A350XWB,FR,,79,0
A4yush,IN,,72,0
A519LeVanDuc,VN,,12,0
A524,CN,,0,0
A5RANK,JP,日本大学,2,0
A6du11ah,BD,,0,0
A7075,JP,,525,626
A7mad,PS,,0,0
A7med7assan,EG,,2,0
A7med_CR7,EG,,162,0
A7med_Ehap,EG,,5,0
A7med_mousa,EG,,388,0
A8s,JP,,363,64
A9c91,CN,,3,0
AA18,IN,,933,0
AA2512,IN,,164,0
AA2622,XX,2622447282,14,0
AA494,CN,,82,0
AAA6g3y,CN,,323,0
AAAAA3,CN,,519,0
AAAAAmy,CN,,123,0
AAAAC,CN,,0,0
AAAAR,JP,,0,0
AAAAltrrrrria,CN,,193,0
AAAR_Salmon,JP,Okayama University,1314,0
AAAaaa23333,CN,,13,0
AAAmazing,CN,+86 15261144125,201,0
AAAzsf,CN,,258,0
AAB007,IN,,3,0
AABBTuliwei,CN,,2090,0
AADHAR_MEHTA,IN,,28,0
AAF_,CN,,102,0
AAII,JP,,1869,85
AAMubin21,BD,Brac University,8,0
AAOIU,JP,,5,0
AASG,BO,,43,0
AAV,JP,Osaka University,407,0
AA_,CN,130107200711101713,806,0
AA_Surely,IR,,1539,0
AAb,JP,,15,0
AAnonymity,CN,,2,0
AArman,BD,,0,0
AAurorakk,CN,HUAS2021,920,19
AB007,IN,,8,0
AB10c,JP,,233,50
AB17,IN,,0,0
AB510719,JP,,28,0
AB560243,JP,,6,0
ABC1605020213,CN,,120,0
ABC2,JP,,9,0
ABCABC123,JP,,13,0
ABCD123456,AM,,0,0
ABCDEFFF,CN,,132,0
ABC_F_G,AF,,0,0
ABCbum,VN,,20,0
ABCcbaABC,CN,,98,0
ABCcontest,JP,,3,0
ABCexp,JP,,0,0
ABColzhas,KZ,,0,0
ABD0,EG,,0,0
ABD18,SY,,11,0
ABDAR,SY,,0,0
ABDB,ZA,RCB,895,0
ABDUNNUR50,BD,,0,0
ABHAY0O7,IN,,716,0
ABHI_1234,IN,,595,0
ABID_MAHADI,BD,,13,0
ABINESH,IN,STUDENT,2,0
ABISHEKCSBS,IN,,0,0
ABL,JP,,613,0
ABN48,JP,W-PCP,356,0
ABOGBL,EG,October 6 University,832,0
ABOOOOOD,EG,,3,0
ABRudra,IN,,193,0
ABT001,IN,Student,146,0
ABTREE,TW,,940,0
ABTUshibingder,CN,,10,0
ABVash,IN,IIIT-D,27,0
AB_54,IN,Stuednt,306,0
AB_IN,CN,,61,0
AB_devil,IN,,1669,0
ABaABa,CN,,0,0
ABal,RU,,1639,0
ABans,IN,,13,0
ABdeV1LL1ERS,IN,,2,0
ABhinav_rahmj,IN,,71,0
ABiroha,JP,,408,0
AC0416,CN,15211196986,8,0
AC123456,CN,yc_汤硕,1086,0
AC2K,JP,pMkWJs7FR9F7NyQ6katOWuvfHPo2Cs,1195,321
AC463,IN,IIT Guwahati,1669,0
AC47,CN,,95,0
AC7,CN,,2,0
AC961009,JP,,1547,371
ACACACAC,JP,,26,0
ACCAT,CN,,515,0
ACCE,CN,,1328,0
ACCUM,CN,,0,0
ACCUP,JP,東京理科大学,1199,637
ACCcc,CN,,0,0
ACDC,JP,,50,0
ACDream,CN,,832,0
ACE_rx,CN,,204,0
ACEvil,CN,,485,0
ACHunter,CN,18918177280,318,0
ACIDSKY,JP,,2,0
ACL,JP,,109,0
ACLeo,XX,,1352,0
ACMWGR,CN,,541,0
ACM_001,CL,,442,0
ACM_Rookie,CN,,40,0
ACM_killer,CN,,124,0
ACMers,CN,,0,0
ACMman,CN,,639,0
ACMrewriter,CN,,130,0
ACMyao,CN,,0,0
ACNovice,CN,,6,0
ACPls,IN,,522,0
ACQING,CN,,0,0
ACRush,CN,,2956,0
ACSF313,PH,,91,0
ACTEST,JP,,243,0
ACWhyTLE,KR,Hanyang University,1287,0
AC_100,CN,,235,0
AC_123456,KR,yc_김태연,0,0
AC_AR,CN,wu,175,0
AC_AutoGay,CN,,1116,0
AC_Automation,CN,Tsinghua University High School,2032,745
AC_DC_TNT,BD,,71,0
AC_Jobim,CN,,42,0
AC_Mikoto,CN,,0,0
AC_OIer,CN,,1889,0
AC_Prince,CN,,26,15
AC_QFY,CN,,88,0
AC_TLE,JP,☀☀北九州高専☀☀,448,26
AC_Xu,CN,,25,0
AC_Yee,CN,+8613351059258,11,0
AC_Zenbg,CN,,0,0
AC__hunter,CN,,1262,0
AC_addiction,CN,,51,0
AC_ming,CN,,104,0
AC_raider,IN,,8,0
AC_to_AC,CN,,744,0
ACalgorithm,CN,,25,0
ACamus,JP,Kyoto University,1081,49
ACdefly,CN,,48,0
ACdreamer,CN,,1279,0
ACed,IN,,0,0
ACer22,CN,,0,0
ACforgood,CN,school,1053,0
ACfunhsl,CN,,170,0
AChannel,JP,,1088,0
AChen,CN,,1128,0
AChikan,CN,Bunny,1053,0
ACmogano,JP,,35,0
ACnoway,CN,,987,0
ACoder,CN,,54,0
ACopt,CN,,1485,0
ACplus,JP,China,822,0
ACps,JP,student,16,0
ACqingtianyu,CN,1761659069@qq.com,191,0
ACrazySteve,CN,,15,0
ACstar,CN,None.,866,0
ACstart,CN,,519,0
ACwander,CN,,12,0
ACwisher,CN,qwq,865,0
ACww,CN,19858119660,59,0
ACwwz,CN,,47,0
AD010,JP,The University of Electro-Communications,444,0
AD2612,VN,Hanoi-Amsterdam High School for the gifted,6,0
AD2863,IN,,7,0
AD4CH1,MY,,40,0
AD58,JP,Chiba Institute of Technology,694,0
AD748,IN,,6,0
ADADADZERO,CA,,2,0
ADAPASAI,IN,Jntu,0,0
ADARSH_KUMAR,IN,NIT JAMSHEDPUR,0,0
ADEE_19,IN,,2,0
ADFM114,CN,,0,0
ADHD,JP,,49,0
ADI99,IN,,12,0
ADIBA,BD,,32,0
ADITYA_17126,IN,,2,0
ADJ118859,JP,,11,0
ADJA,KZ,,2003,0
ADJ_POJ,CN,,100,0
ADK5,IN,,2,0
ADMathNoob,CA,,1811,0
ADOHAHA,CN,18718506885,59,0
ADRlANO,AR,,0,0
ADVIK1234,IN,,42,0
AD_HD,IN,,0,0
AD_SWANT,IN,,14,0
ADguy_CN,CN,,235,0
ADresterr,IN,,0,0
ADwei,CN,,6,0
AE17B018,IN,,9,0
AEB,IR,,934,0
AEF_EMACEHA10,BD,,464,0
AEGlS,JP,,185,0
AEHEA,CN,,282,0
AEMShana,CN,,2,0
AES_crypto,VN,,12,0
AEShi,CN,,91,0
AEddy,CN,,2,0
AEn,JP,Kyoto University,1667,636
AEsir,VN,,153,0
AEsirs,CN,,7,0
AF7,CN,,106,0
AFCrafter,JP,,12,0
AFLeartLey,CN,Nanning No.3 High School,1169,0
AFOer,CN,zakyboys,2752,655
AFP0101,IR,,12,0
AFSCODE,IN,,71,0
AFTV,CN,,117,0
