user_id,join,duration,elapsed,main_lang,python_rate
Alnus,2022-06-01 15:44:18,0 days 00:00:00,274 days 14:32:38.674328,PyPy,0.0
Alnya,2021-04-25 20:59:52,0 days 13:57:35,675 days 19:19:29.674328,PyPy,0.0
AlperenT,2022-03-01 20:23:58,0 days 00:13:03,366 days 09:39:55.674328,C++,0.0
Alpha_Drawer,2022-09-20 07:39:22,136 days 01:15:23,27 days 21:22:11.674328,C++,0.0
AltTTT,2021-08-07 16:03:45,0 days 00:00:00,572 days 14:13:11.674328,C++,0.0
Altotips,2021-04-03 14:34:00,49 days 03:45:33,649 days 11:57:23.674328,C++,0.0
AlveRahman,2021-05-22 14:41:50,0 days 00:00:00,649 days 15:35:06.674328,C++,0.0
Amidadegomen,2021-03-06 12:26:05,4 days 01:58:23,722 days 15:52:28.674328,PyPy,0.0
Amkoidy,2021-04-25 19:41:48,643 days 14:26:40,32 days 20:08:28.674328,C++,0.0
AmuK,2022-10-30 16:27:03,98 days 02:06:59,25 days 11:42:54.674328,C++,0.0
Analyziz,2021-04-27 08:58:28,0 days 00:00:00,674 days 21:18:28.674328,C++,0.0
Andre2038,2022-11-11 19:23:57,0 days 00:00:00,111 days 10:52:59.674328,Python,1.0
AndrescuIII,2021-04-25 21:54:13,0 days 00:10:44,676 days 08:11:59.674328,PyPy,0.0
AndyCidoai,2022-09-30 14:24:19,42 days 06:49:55,111 days 09:02:42.674328,C++,0.4
AndyXie,2022-06-09 20:06:54,70 days 15:39:44,195 days 18:30:18.674328,C++,0.0
Andy_LJX,2021-04-25 23:52:28,5 days 19:20:56,670 days 11:03:32.674328,C++,0.0
AngrySadEight,2021-03-06 17:05:29,623 days 19:17:52,102 days 17:53:35.674328,C++,0.0
Anija,2021-03-13 09:57:10,0 days 00:00:00,719 days 20:19:46.674328,C++,0.0
Anika_Tahasin,2022-04-24 17:40:00,0 days 01:10:34,312 days 11:26:22.674328,C++,0.0
Anish_aak,2022-02-20 01:44:31,177 days 18:38:24,198 days 09:54:01.674328,C++,0.0
Anko,2021-04-25 23:43:43,103 days 20:13:00,572 days 10:20:13.674328,C++,0.0
AnkouSoei,2022-08-13 20:00:16,39 days 05:26:59,162 days 04:49:41.674328,Rust,0.0
Anosa,2021-03-11 17:38:18,0 days 16:48:50,720 days 19:49:48.674328,C++,0.0
Anthony1009,2021-12-12 16:12:03,334 days 02:56:51,111 days 11:08:02.674328,C++,0.05555555555555555
Aotsuki_,2021-04-25 19:47:04,0 days 00:00:00,676 days 10:29:52.674328,Text,0.0
Apiram,2021-04-25 19:40:15,0 days 03:36:05,676 days 07:00:36.674328,C++,0.0
Apple_Boy,2021-03-07 12:34:52,5 days 23:20:28,719 days 18:21:36.674328,C++,0.0
Aqua3k,2021-03-06 12:41:51,701 days 06:41:05,25 days 10:54:00.674328,PyPy,0.008771929824561403
Aquarius,2021-03-08 11:47:53,692 days 09:32:29,32 days 08:56:34.674328,C++,0.0
Arakoma,2021-03-14 16:54:11,607 days 19:13:16,110 days 18:09:29.674328,Python,0.7407407407407407
AramKaram,2022-10-30 18:42:28,91 days 06:58:00,32 days 04:36:28.674328,C++,0.0
Arcsecond,2023-01-28 12:17:58,2 days 11:02:09,31 days 06:56:49.674328,PyPy,0.5
Arknights_______,2021-05-22 18:46:36,0 days 00:00:00,649 days 11:30:20.674328,C++,0.0
Armavica,2021-03-13 04:40:38,407 days 13:46:27,312 days 11:49:51.674328,Rust,0.14285714285714285
Arou,2022-11-14 01:06:10,6 days 17:50:27,102 days 11:20:19.674328,Python,0.7073170731707317
Aruaru0,2021-03-14 07:47:31,0 days 02:43:41,718 days 19:45:44.674328,Go,0.0
Arumirror,2021-11-14 19:54:36,0 days 00:05:20,473 days 10:17:00.674328,C++,0.0
Aruriruri,2021-04-25 19:56:34,34 days 23:58:07,641 days 10:22:15.674328,C++,0.0
Aryu,2022-08-10 13:31:02,5 days 23:42:00,198 days 17:03:54.674328,PyPy,0.0
AsamiCrayon,2021-03-06 15:07:15,1 days 02:43:04,725 days 12:26:37.674328,C++,0.0
Asamura,2022-04-24 15:34:52,0 days 00:10:51,312 days 14:31:13.674328,Python,1.0
AshRoot,2021-07-12 01:02:52,0 days 14:47:45,598 days 14:26:19.674328,C++,0.0
Ashandf,2021-05-22 16:23:27,407 days 01:08:41,242 days 12:44:48.674328,Python,0.8181818181818182
Ashish_NSUT,2022-10-30 15:43:32,0 days 01:02:33,123 days 13:30:51.674328,C++,0.0
Asibasi,2021-08-07 17:23:17,204 days 15:12:32,367 days 21:41:07.674328,C++,0.043478260869565216
Asmil1024,2021-03-06 12:56:21,2 days 08:11:33,724 days 09:09:02.674328,Java,0.0
Asuka_panda,2022-11-18 10:46:55,0 days 00:00:00,104 days 19:30:01.674328,PyPy,0.0
Atok,2022-11-17 18:00:39,2 days 10:05:31,103 days 02:10:46.674328,C++,0.0
Atoll,2021-04-25 19:35:42,0 days 00:35:56,676 days 10:05:18.674328,PyPy,0.0
Atomic,2021-05-25 11:39:17,4 days 07:52:31,642 days 10:45:08.674328,C++,0.0
Atomickaak,2022-09-20 03:50:59,61 days 11:21:53,102 days 15:04:04.674328,C++,0.0
Atziluth,2021-03-06 12:17:56,9 days 01:52:30,717 days 16:06:30.674328,C++,0.0
Auk10,2022-02-13 16:12:54,180 days 22:39:12,201 days 15:24:50.674328,C++,0.0
Aurora2005,2021-03-06 14:24:50,484 days 01:43:30,242 days 14:08:36.674328,C++,0.0
Aurum,2022-11-13 11:36:29,84 days 07:01:32,25 days 11:38:55.674328,C++,0.0
Ausgleich114,2021-03-06 12:24:18,0 days 00:00:00,726 days 17:52:38.674328,C++,0.0
Authns,2022-02-13 14:28:08,0 days 01:09:47,382 days 14:39:01.674328,Fortran,0.0
AvadaKedavra,2022-06-12 20:07:01,0 days 00:00:00,263 days 10:09:55.674328,C++,0.0
Avirexsky,2021-05-22 20:28:17,7 days 20:31:51,641 days 13:16:48.674328,PyPy,0.1111111111111111
Ayana6,2022-06-21 09:49:25,0 days 00:00:00,254 days 20:27:31.674328,Python,1.0
Ayayakomichi,2021-11-14 16:47:29,0 days 01:25:07,473 days 12:04:20.674328,C++,0.0
Ayuphys,2023-01-28 14:47:40,1 days 02:57:03,32 days 12:32:13.674328,C++,0.0
Ayutaso,2022-11-14 20:30:00,0 days 00:55:03,108 days 08:51:53.674328,Python,1.0
Azamingoo,2022-02-13 13:00:51,0 days 00:00:00,382 days 17:16:05.674328,Java,0.0
B10119,2022-08-03 22:30:43,0 days 00:05:05,211 days 07:41:08.674328,Python,1.0
BAKATAN,2022-02-12 12:27:50,280 days 01:49:22,103 days 15:59:44.674328,C++,0.07317073170731707
BSer,2021-03-07 13:17:28,111 days 01:40:43,614 days 15:18:45.674328,C++,0.0
BURI,2021-05-26 11:20:01,618 days 09:35:51,27 days 09:21:04.674328,C++,0.0
Backlight,2021-04-25 19:53:50,0 days 00:33:59,676 days 09:49:07.674328,C++,0.0
Ballpythonsan,2021-03-14 08:17:51,4 days 23:32:07,713 days 22:26:58.674328,C++,0.0
Bambusoideae,2022-04-24 18:03:28,0 days 00:00:00,312 days 12:13:28.674328,C++,0.0
BanetteGin,2022-02-12 23:56:24,305 days 13:55:02,77 days 16:25:30.674328,C++,0.0
Baq,2022-10-30 15:14:11,0 days 00:26:59,123 days 14:35:46.674328,C++,0.0
Basin,2023-01-29 23:55:09,0 days 00:00:00,32 days 06:21:47.674328,PyPy,0.0
Bay,2022-02-13 16:55:27,368 days 18:28:59,13 days 18:52:30.674328,PyPy,0.017241379310344827
Bearno_1,2021-06-17 17:06:02,260 days 13:50:59,362 days 23:19:55.674328,C++,0.0
Begginer1234321,2022-11-20 01:30:43,0 days 00:00:00,103 days 04:46:13.674328,PyPy,0.0
Beginer_python,2021-11-14 19:53:31,0 days 00:00:00,473 days 10:23:25.674328,C++,0.0
Bellis,2022-10-30 15:06:28,21 days 03:09:05,102 days 12:01:23.674328,C++,0.0
Berling,2022-09-23 19:15:39,130 days 05:40:44,30 days 05:20:33.674328,Rust,0.05
BetAmoto,2022-11-15 09:03:44,1 days 09:34:14,106 days 11:38:58.674328,C++,0.0
BigHeadMonster,2022-11-15 23:37:46,0 days 13:59:35,106 days 16:39:35.674328,C++,0.4
BigOrange,2022-08-09 23:54:34,0 days 00:00:00,205 days 06:22:22.674328,Python,1.0
BinDir0,2021-10-07 00:07:15,0 days 00:00:00,512 days 06:09:41.674328,C++,0.0
BinomialSheep,2022-04-24 16:07:17,203 days 05:46:53,109 days 08:22:46.674328,C++,0.0
BlackBumblebee,2022-08-13 16:21:17,2 days 01:49:17,199 days 12:06:22.674328,C++,0.0
Black_Panda,2022-07-03 15:09:31,0 days 00:11:54,242 days 14:55:31.674328,C++,0.0
Blaiteray,2021-04-25 19:52:45,0 days 02:43:16,676 days 07:40:55.674328,C++,0.0
Blasterking,2022-03-26 16:25:56,0 days 01:05:26,341 days 12:45:34.674328,C++,0.0
Ble,2023-01-31 03:30:07,1 days 18:42:24,29 days 08:04:25.674328,C++,0.0
Bleuj,2021-05-09 06:36:51,0 days 11:15:38,662 days 12:24:27.674328,C++,0.0
Blondie,2023-02-22 06:17:33,2 days 00:04:40,6 days 23:54:43.674328,C++,0.0
Bloody_Yulii,2022-05-05 15:46:53,59 days 02:41:16,242 days 11:48:47.674328,C++,0.0
Blueqwq,2022-03-26 17:54:41,0 days 01:05:06,341 days 11:17:09.674328,C++,0.0
Bnznstrom_815,2022-11-29 14:52:04,0 days 06:54:54,93 days 08:29:58.674328,Python,1.0
BohdanPastuschak,2021-03-07 02:37:13,0 days 16:52:32,725 days 10:47:11.674328,C++,0.0
Bom164,2021-07-28 17:43:51,34 days 22:01:14,547 days 14:31:51.674328,C++,0.0
Bondo416,2021-03-06 13:35:59,704 days 07:57:54,22 days 08:43:03.674328,C++,0.0
Br2,2022-10-30 15:19:12,0 days 03:40:30,123 days 11:17:14.674328,C++,0.0
BreezeEnder,2022-07-03 12:04:27,0 days 00:00:00,242 days 18:12:29.674328,C++,0.0
Bwambocos,2021-03-08 17:33:49,0 days 00:00:00,724 days 12:43:07.674328,C++,0.0
C193206_4AF,2021-11-17 00:21:43,0 days 00:00:00,471 days 05:55:13.674328,C++,0.0
C7BMkOO7Qbmcwck7,2021-03-14 18:42:44,693 days 00:28:07,25 days 11:06:05.674328,Java,0.0
CAB314,2021-06-26 22:53:42,588 days 21:23:06,25 days 10:00:08.674328,C++,0.0
CAT_CAT,2022-03-26 16:55:03,136 days 05:46:02,205 days 07:35:51.674328,C++,0.0
CHENRUIJIE,2021-07-21 17:29:24,0 days 00:00:00,589 days 12:47:32.674328,C++,0.0
CHINAjsnjhhz,2022-04-24 21:21:05,0 days 00:00:00,312 days 08:55:51.674328,C++,0.0
CHRIBUR,2021-04-25 21:47:10,103 days 21:21:56,572 days 11:07:50.674328,Python,1.0
CJ_xde_lt,2022-11-08 15:55:10,3 days 05:58:50,111 days 08:22:56.674328,C++,0.18181818181818182
COOH2,2021-03-06 12:12:06,50 days 10:16:57,676 days 07:47:53.674328,C++,0.0
CXY6666,2022-11-13 21:14:13,0 days 00:00:00,109 days 09:02:43.674328,Python,1.0
CaNaRiA7,2022-02-23 16:55:39,0 days 00:00:00,372 days 13:21:17.674328,C++,0.0
CaesarD,2023-02-04 00:21:33,0 days 01:17:43,27 days 04:37:40.674328,C++,0.0
Californium,2021-03-06 12:14:47,77 days 00:54:00,649 days 17:08:09.674328,C++,0.0
Calypso,2021-04-25 20:41:40,0 days 02:13:53,676 days 07:21:23.674328,Python,1.0
Camphor,2021-06-26 16:55:58,0 days 00:20:07,614 days 13:00:51.674328,Python,1.0
Capo,2022-02-13 13:37:37,356 days 22:12:57,25 days 18:26:22.674328,C++,0.058823529411764705
Caritas,2023-02-05 08:38:09,0 days 04:32:42,25 days 17:06:05.674328,Python,0.6666666666666666
CarpDay,2022-03-26 16:51:43,215 days 09:09:02,126 days 04:16:11.674328,Python,0.9047619047619048
CarroT1212,2022-06-08 13:43:29,109 days 06:36:20,158 days 09:57:07.674328,C++,0.0
Catan56,2022-03-26 15:36:31,63 days 00:07:25,278 days 14:33:00.674328,C++,0.0
CdaCzt,2022-09-30 14:28:32,0 days 00:00:00,153 days 15:48:24.674328,C++,0.0
CertainPrinceHtl,2023-01-28 15:05:15,8 days 01:07:08,25 days 14:04:33.674328,C++,0.0
Cervidae,2021-08-07 17:19:25,0 days 00:57:06,572 days 12:00:25.674328,C++,0.0
Chardy_PPP,2022-01-26 18:44:23,63 days 10:38:33,337 days 00:54:00.674328,C++,0.0
Charlie2020,2022-11-11 22:22:26,0 days 00:00:00,111 days 07:54:30.674328,C++,0.0
CharlieGao,2022-04-07 18:02:20,107 days 20:56:00,221 days 15:18:36.674328,C++,0.0
CharlieZ,2021-08-26 22:24:59,0 days 00:00:00,553 days 07:51:57.674328,C++,0.0
CheckMate,2021-03-06 13:44:43,76 days 23:04:57,649 days 17:27:16.674328,C++,0.0
Chippppp,2021-05-22 12:37:43,280 days 06:52:37,369 days 10:46:36.674328,C++,0.0
ChiyosBigDragon,2021-03-08 05:44:32,699 days 12:14:33,25 days 12:17:51.674328,Rust,0.0
ChocolateCornet,2022-10-30 15:57:18,0 days 01:58:37,123 days 12:21:01.674328,C++,0.0
Chroma7p,2021-03-06 13:08:15,293 days 21:49:45,432 days 19:18:56.674328,PyPy,0.13636363636363635
Chrono46,2021-04-25 19:15:32,0 days 02:43:00,676 days 08:18:24.674328,PyPy,0.0
CivilTaro,2022-08-11 23:46:55,169 days 12:32:34,33 days 17:57:27.674328,C++,0.0
Claus,2023-01-28 17:15:27,8 days 01:36:07,25 days 11:25:22.674328,Python,1.0
CoCo_Japan_pan,2023-01-30 22:31:23,5 days 04:17:00,26 days 03:28:33.674328,C++,0.0
Code_Elvin,2023-02-04 17:05:46,0 days 00:00:00,26 days 13:11:10.674328,C++,0.0
CodingKnight,2022-02-16 23:56:28,255 days 16:28:34,123 days 13:51:54.674328,C++,0.0
Coki628,2021-12-08 18:17:13,419 days 07:41:47,30 days 04:17:56.674328,C++,0.0
Colorlessx7,2022-04-24 15:19:45,149 days 04:57:27,163 days 09:59:44.674328,C++,0.0
Complex,2022-06-02 12:14:39,240 days 08:04:38,33 days 09:57:39.674328,C++,0.25
Coxie,2021-03-07 15:55:53,332 days 04:02:53,393 days 10:18:10.674328,C++,0.0
Cream_OG,2022-06-05 12:34:28,67 days 01:44:47,203 days 15:57:41.674328,Python,0.8
Creamy,2021-03-07 01:18:24,6 days 09:56:21,719 days 19:02:11.674328,C++,0.0
Crepuscolo,2021-05-22 23:14:48,0 days 00:30:26,649 days 06:31:42.674328,Python,1.0
Cripitty,2022-11-11 23:07:57,1 days 17:07:08,109 days 14:01:51.674328,Python,0.6
CrispyCommand,2021-03-06 20:26:53,0 days 00:00:00,726 days 09:50:03.674328,C++,0.0
CrocodileROCK,2021-03-08 16:59:24,0 days 18:22:23,723 days 18:55:09.674328,Python,1.0
Cube219,2022-01-26 19:10:46,0 days 00:36:57,400 days 10:29:13.674328,C++,0.0
Cute_Rabbit,2022-08-17 20:45:41,0 days 00:00:00,197 days 09:31:15.674328,C++,0.0
CyanSineSin,2022-10-30 16:38:57,95 days 07:22:48,28 days 06:15:11.674328,C++,0.0
Cyber_Tree,2021-11-14 19:10:21,0 days 00:47:24,473 days 10:19:11.674328,C++,0.0
Cyberdog90,2022-08-10 19:34:12,1 days 20:18:17,202 days 14:24:27.674328,Python,0.7857142857142857
Cyberzac,2021-03-12 04:15:56,0 days 00:00:00,721 days 02:01:00.674328,Python,1.0
Cyclone_28,2021-04-25 22:56:00,0 days 00:10:47,676 days 07:10:09.674328,C++,0.0
D2029AAE2EF6,2021-03-12 23:11:36,609 days 19:45:34,110 days 11:19:46.674328,Python,0.6851851851851852
DAGI,2022-03-26 15:16:05,0 days 00:00:00,341 days 15:00:51.674328,C++,0.0
DEKA1066,2021-12-12 16:58:14,133 days 03:49:57,312 days 09:28:45.674328,PyPy,0.0
DFNasutarou,2021-03-09 17:24:35,693 days 17:43:21,29 days 19:09:00.674328,PyPy,0.0410958904109589
DHdroid,2022-02-19 21:07:52,0 days 01:33:00,376 days 07:36:04.674328,C++,0.0
DMCS,2022-11-14 00:12:30,2 days 19:16:02,106 days 10:48:24.674328,C++,0.0
DOYA79,2022-03-26 15:32:29,0 days 03:25:45,341 days 11:18:42.674328,Ruby,0.0
DPH,2021-03-06 15:11:08,8 days 04:03:06,718 days 11:02:42.674328,C++,0.0
DReamLion,2021-11-26 12:12:49,0 days 04:26:31,461 days 13:37:36.674328,C++,0.0
DTMura,2022-05-28 21:31:21,0 days 00:00:00,278 days 08:45:35.674328,Python,1.0
DUO300,2021-12-07 11:03:37,425 days 08:14:28,25 days 10:58:51.674328,C++,0.0
DUS,2021-04-25 21:13:28,0 days 00:20:04,676 days 08:43:24.674328,C++,0.0
DW_Zhouyu,2021-05-08 01:10:48,0 days 01:14:29,664 days 03:51:39.674328,C++,0.0
Dai3,2021-05-26 22:38:56,0 days 23:41:16,644 days 07:56:44.674328,C++,0.0
DaiRuiChen007,2022-10-30 15:52:21,0 days 00:25:15,123 days 13:59:20.674328,C++,0.0
Daiji256,2021-03-06 18:59:17,50 days 03:54:19,676 days 07:23:20.674328,C++,0.0
DamianS,2021-05-23 04:51:00,1 days 11:41:57,647 days 13:43:59.674328,C++,0.0
Daniel2812,2021-03-07 09:12:58,0 days 14:38:07,725 days 06:25:51.674328,C++,0.0
Dante_Rits,2021-04-25 23:04:29,334 days 21:24:26,341 days 09:48:01.674328,C++,0.0
Darkness,2022-04-30 00:03:03,280 days 01:40:53,27 days 04:33:00.674328,C++,0.0
DarshSikka,2021-05-26 01:20:50,2 days 14:01:17,643 days 14:54:49.674328,Python,1.0
Dart_Xeyter,2022-08-16 03:00:17,0 days 17:59:53,198 days 09:16:46.674328,C++,0.0
David_S,2022-02-16 16:45:04,350 days 22:42:26,28 days 14:49:26.674328,C#,0.0
Daylight,2021-03-08 11:01:25,520 days 09:44:47,204 days 09:30:44.674328,C++,0.0
Dayzrs,2022-10-30 15:24:17,0 days 00:26:05,123 days 14:26:34.674328,Java,0.0
De_nis,2021-05-10 23:14:57,32 days 16:23:20,628 days 14:38:39.674328,Julia,0.0
Deadcoder,2022-02-17 17:45:43,0 days 00:00:00,378 days 12:31:13.674328,C++,0.0
Deadcoder1,2022-02-17 17:58:23,0 days 00:00:00,378 days 12:18:33.674328,C++,0.0
Deadcoder11u2,2022-01-26 23:53:41,27 days 12:22:52,372 days 18:00:23.674328,Java,0.2459016393442623
Deamocrito,2021-12-21 01:33:19,0 days 00:00:00,437 days 04:43:37.674328,C++,0.0
Deep234,2021-06-26 13:07:55,0 days 00:00:00,614 days 17:09:01.674328,C++,0.0
Deido182,2022-11-13 09:06:37,7 days 00:24:49,102 days 20:45:30.674328,Java,0.0
DeividasM,2022-01-23 06:51:25,13 days 22:28:37,390 days 00:56:54.674328,C++,0.0
Deji,2021-03-12 11:11:40,647 days 05:58:03,73 days 13:07:13.674328,C++,0.0
DeltaStruct,2022-07-03 18:57:49,226 days 03:14:33,16 days 08:04:34.674328,C++,0.0
Denisov,2021-03-07 03:25:15,0 days 01:30:46,726 days 01:20:55.674328,C++,0.0
Dente,2021-03-06 17:30:21,700 days 20:27:07,25 days 16:19:28.674328,C++,0.0
Developy,2022-07-12 14:36:27,0 days 00:00:00,233 days 15:40:29.674328,C++,0.0
Diana773,2022-09-23 17:37:29,0 days 00:00:00,160 days 12:39:27.674328,PHP,0.0
Diary,2022-02-12 18:25:04,355 days 21:42:05,27 days 14:09:47.674328,C++,0.0
Diastereomer,2021-04-25 21:19:45,26 days 23:37:23,649 days 09:19:48.674328,PyPy,0.0
Dice64,2023-01-28 13:01:37,0 days 02:13:55,33 days 15:01:24.674328,PyPy,0.0
Digwee_kkkn,2021-12-12 19:36:38,72 days 06:41:21,373 days 03:58:57.674328,C++,0.0
Dimorphotheca,2021-03-08 15:02:19,82 days 03:48:37,642 days 11:26:00.674328,C++,0.0
DinaCasta,2022-11-11 19:25:48,0 days 00:00:00,111 days 10:51:08.674328,Python,1.0
DingZhenGuAiLing,2022-10-30 17:14:12,0 days 00:58:02,123 days 12:04:42.674328,C++,0.0
Dip_Bhowmick,2021-04-25 20:53:52,0 days 00:00:00,676 days 09:23:04.674328,C++,0.0
Dipanjan,2023-01-30 05:14:54,0 days 00:00:00,32 days 01:02:02.674328,C++,0.0
DirectKidman,2021-03-10 20:45:56,0 days 02:09:12,722 days 07:21:48.674328,C++,0.0
DirtyRed,2022-05-28 23:05:54,121 days 20:38:56,156 days 10:32:06.674328,Python,0.625
Dispersion,2021-03-06 12:19:28,694 days 06:26:13,32 days 11:31:15.674328,C++,0.0
Displace,2021-12-11 14:26:04,110 days 05:41:15,336 days 10:09:37.674328,C++,0.0
DivineJK,2021-03-06 12:16:22,112 days 05:42:57,614 days 12:17:37.674328,Python,0.47058823529411764
Dkobayashl,2022-04-24 15:05:11,110 days 01:25:34,202 days 13:46:11.674328,Ruby,0.0
Dlian,2021-04-26 18:30:19,0 days 00:00:00,675 days 11:46:37.674328,C++,0.0
DmitryLzr,2021-08-07 17:33:02,0 days 01:49:35,572 days 10:54:19.674328,C++,0.0
DoanTungLam,2022-03-26 18:49:38,0 days 00:05:05,341 days 11:22:13.674328,Python,1.0
